job_id,title,date_posted,first_seen,last_seen,location,industry,employer,employment_type,salary,url,html_file,json_file,description_length,scraped_at,status
24999,Systems Administrator,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,IT,WR Carpenter (PNG) Limited,,",",https://www.pngworkforce.com/jobs/view/systems-administrator/24999,html_output/job_24999.html,json_output/job_24999.json,3705,2025-10-31T16:22:24.488076,success
24996,HID2570 – INVESTIGATOR,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,"Mining, Oil and Gas",Harmony Australasia,,2570,https://www.pngworkforce.com/jobs/view/hid2570-investigator/24996,html_output/job_24996.html,json_output/job_24996.json,3406,2025-10-31T16:22:27.860368,success
24995,Finance Officer,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"East New Britain, Simbu (Chimbu)","Accounting / Finance, Non Government Organisations (NGOs)",Save the Children,,",",https://www.pngworkforce.com/jobs/view/finance-officer/24995,html_output/job_24995.html,json_output/job_24995.json,10000,2025-10-31T16:22:31.367021,success
24994,Health and Nutrition Officer,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"East New Britain, Simbu (Chimbu)",Non Government Organisations (NGOs),Save the Children,,",",https://www.pngworkforce.com/jobs/view/health-and-nutrition-officer/24994,html_output/job_24994.html,json_output/job_24994.json,10000,2025-10-31T16:22:33.725663,success
24993,Deputy Team Leader,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"National Capital District, East New Britain, Simbu (Chimbu)",Non Government Organisations (NGOs),Save the Children,,",",https://www.pngworkforce.com/jobs/view/deputy-team-leader-technical/24993,html_output/job_24993.html,json_output/job_24993.json,10000,2025-10-31T16:22:36.935188,success
24991,Professor / Associate Professor / Senior Lecturer in Physical Chemistry,24/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Education and Training,PNG University of Technology (PNGUoT),,",",https://www.pngworkforce.com/jobs/view/professor-associate-professor-senior-lecturer-in-physical-chemistry/24991,html_output/job_24991.html,json_output/job_24991.json,2353,2025-10-31T16:22:40.195575,success
24990,Lecturer I in Food Technology,24/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Education and Training,PNG University of Technology (PNGUoT),,",",https://www.pngworkforce.com/jobs/view/lecturer-i-in-food-technology/24990,html_output/job_24990.html,json_output/job_24990.json,2189,2025-10-31T16:22:43.376072,success
24989,Professor / Associate Professor / Senior Lecturer in Food Engineering,24/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Education and Training,PNG University of Technology (PNGUoT),,",",https://www.pngworkforce.com/jobs/view/professor-associate-professor-senior-lecturer-in-food-engineering/24989,html_output/job_24989.html,json_output/job_24989.json,2344,2025-10-31T16:22:45.723170,success
24988,Technician Processing ,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"National Capital District, Morobe, Autonomous Region of Bougainville, East Sepik, East New Britain, Madang, Milne Bay, New Ireland, West New Britain, Western Highlands, Papua New Guinea","Heavy Equipment, Mining, Oil and Gas, Operations Support, Technician",Newmont,,",",https://www.pngworkforce.com/jobs/view/technician-processing/24988,html_output/job_24988.html,json_output/job_24988.json,4669,2025-10-31T16:22:48.057562,success
24987,Professor / Associate Professor / Senior Lecturer in Food Chemistry,24/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Education and Training,PNG University of Technology (PNGUoT),,",",https://www.pngworkforce.com/jobs/view/professor-associate-professor-senior-lecturer-in-food-chemistry/24987,html_output/job_24987.html,json_output/job_24987.json,2337,2025-10-31T16:22:50.404616,success
24986,Carpenter,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Airline / Airport / Travel, Carpenter, Carpentry, Operations Support",PNG Air Limited,,",",https://www.pngworkforce.com/jobs/view/carpenter/24986,html_output/job_24986.html,json_output/job_24986.json,2544,2025-10-31T16:22:53.543608,success
24985,ASSISTANT CREWING MANAGER,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Services, Shipping",Bismark Maritime Limited,,",",https://www.pngworkforce.com/jobs/view/assistant-crewing-manager/24985,html_output/job_24985.html,json_output/job_24985.json,2844,2025-10-31T16:22:56.724777,success
24983,LAE CCTV TECHNICIAN ,27/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,"IT, Technician",Express Freight Management,,",",https://www.pngworkforce.com/jobs/view/lae-cctv-technician/24983,html_output/job_24983.html,json_output/job_24983.json,5696,2025-10-31T16:22:59.067411,success
24981,Trainer,31/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,"Eastern Highlands, Eastern Highlands","Mining, Oil and Gas",K92 Mining Inc.,Permanent,",",https://www.pngworkforce.com/jobs/view/trainer-processing/24981,html_output/job_24981.html,json_output/job_24981.json,4615,2025-10-31T16:23:02.333242,success
24980,Project Officer,24/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,"Non Government Organisations (NGOs), Scientific",World Vision PNG,,",",https://www.pngworkforce.com/jobs/view/project-officer-circar/24980,html_output/job_24980.html,json_output/job_24980.json,4483,2025-10-31T16:23:05.540703,success
24979,Senior Mechanic (Heavy Equipment),23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/senior-mechanic-heavy-equipment/24979,html_output/job_24979.html,json_output/job_24979.json,3817,2025-10-31T16:23:08.665028,success
24978,Security Admin Receptionist,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture, Operations Support, Security",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/security-admin-receptionist/24978,html_output/job_24978.html,json_output/job_24978.json,4811,2025-10-31T16:23:11.795792,success
24977,Landscaper,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture, Property and Real Estate",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/landscaper/24977,html_output/job_24977.html,json_output/job_24977.json,3598,2025-10-31T16:23:15.104900,success
24976,ICT Manager,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,IT,Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/ict-manager/24976,html_output/job_24976.html,json_output/job_24976.json,2985,2025-10-31T16:23:18.217726,success
24975,Genset Maintenance Technician,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/genset-maintenance-technician/24975,html_output/job_24975.html,json_output/job_24975.json,4013,2025-10-31T16:23:20.606444,success
24974,Exterior Carpenter,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Carpenter, Construction, Building and Architecture",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/exterior-carpenter/24974,html_output/job_24974.html,json_output/job_24974.json,2456,2025-10-31T16:23:22.943250,success
24973,Excavator Operator,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture, Driver",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/excavator-operator/24973,html_output/job_24973.html,json_output/job_24973.json,3302,2025-10-31T16:23:25.351624,success
24972,Civil Works/Infrastructure Engineer,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"Construction, Building and Architecture",Glory Estate Limited,,",",https://www.pngworkforce.com/jobs/view/civil-works-infrastructure-engineer/24972,html_output/job_24972.html,json_output/job_24972.json,6009,2025-10-31T16:23:28.483157,success
24971,Assistant Coordinator,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Electronics,TE (PNG) Limited,Full-Time,",",https://www.pngworkforce.com/jobs/view/assistant-coordinator/24971,html_output/job_24971.html,json_output/job_24971.json,4120,2025-10-31T16:23:30.883445,success
24969,General Manager,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Morobe,Management,PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/general-manager-diversified-business/24969,html_output/job_24969.html,json_output/job_24969.json,3035,2025-10-31T16:23:33.217472,success
24967,Principal,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,Western (Fly),Education and Training,Balimo College,Full-Time,",",https://www.pngworkforce.com/jobs/view/principal-balimo-college-school-of-nursing/24967,html_output/job_24967.html,json_output/job_24967.json,10000,2025-10-31T16:23:35.578082,success
24966,Non Executive Director,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Banking and Financial Services,PeopleConnexion,,",",https://www.pngworkforce.com/jobs/view/non-executive-director/24966,html_output/job_24966.html,json_output/job_24966.json,2751,2025-10-31T16:23:37.909180,success
24964,Commercial Analyst,23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,Marketing,Steamships Trading Company,,",",https://www.pngworkforce.com/jobs/view/commercial-analyst/24964,html_output/job_24964.html,json_output/job_24964.json,3475,2025-10-31T16:23:40.299429,success
24962,Digital Content Creator (Automotive Dealership),23/10/2025,2025-10-31T16:59:08.037949,2025-11-01T12:41:58.936994,National Capital District,"IT, Media, Advertising, Arts and Entertainment",WR Carpenter (PNG) Limited,,",",https://www.pngworkforce.com/jobs/view/digital-content-creator-automotive-dealership/24962,html_output/job_24962.html,json_output/job_24962.json,3405,2025-10-31T16:23:43.415143,success
